S NO.	COMPANY NAME	COMPANY CATEGORY
110	CITICORP FINANCE (INDIA) LIMITED	CATGA
111	CITIZEN WATCHES (INDIA) PRIVATE LIMITED	CATGB
112	CLAAS INDIA PRIVATE LIMITED	CATGB
113	CLARIANT INDIA PRIVATE LIMITED	CATGB
114	COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED	SCATA
115	COLGATE-PALMOLIVE (INDIA) LIMITED	SCATA
116	COMMONWEALTH DEVELOPERS PRIVATE LIMITED	CATGB
117	CONCORDE MOTORS (INDIA) LIMITED	CATGB
118	CONTAINER CORPORATION OF INDIA LIMITED	CATGA
119	CONTRACT ADVERTISING (INDIA) PRIVATE LIMITED	CATGC
120	CONVERGYS INDIA SERVICES PRIVATE LIMITED	CATGB
121	COROMANDEL FERTILIZERS & CHEMICALS PRIVATE LIMITED	CATGB
122	CREDIT AGRICOLE CIB SERVICES PRIVATE LIMITED	CATGA
123	CRISIL LIMITED	CATGB
124	CUMMINS INDIA LIMITED	SCATA
125	DABUR INDIA LIMITED	CATGA
126	DALMIA BHARAT LIMITED	CATGA
127	DALMIA (BROS.) PRIVATE LIMITED	CATGB
128	DALMIA CEMENT (BHARAT) LIMITED	CATGB
129	DAMODAR VALLEY CORPORATION	GOVT
130	DART MANUFACTURING INDIA PRIVATE LIMITED	CATGB
131	DCM SHRIRAM LIMITED	CATGA
132	D C W LIMITED	CATGB
133	DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD	CATGA
134	DEEPAK NITRITE LIMITED	CATGA
135	DEEPAK SPINNERS LTD	CATGB
136	DELOITTE CONSULTING INDIA PRIVATE LIMITED	SCATA
137	DELPHI-TVS TECHNOLOGIES LIMITED	CATGA
138	DELTA AIR LINES PRIVATE LIMITED	SCATA
139	DENSO HARYANA PRIVATE LIMITED	CATGB
140	DENSO INDIA PRIVATE LIMITED.	SCATA
141	DEUTSCHE BANK	SCATA
142	DHARAMPAL SATYAPAL LIMITED	CATGB
143	DIEBOLD NIXDORF INDIA PVT LTD	CATGA
144	DIGITAL ELECTRONICS LIMITED	CATGB
145	DLF GOLF RESORTS LIMITED	CATGB
146	DLF UNIVERSAL LIMITED..	CATGB
147	D-LINK (INDIA) LIMITED.	CATGB
148	DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED	SCATA
149	DR.REDDY'S RESEARCH FOUNDATION	CATGB
150	DR REDDYS LABORATORIES LTD	SCATA
151	BOFA SECURITIES INDIA LIMITED	CATGB
152	DUN & BRADSTREET TECHNOLOGIES & DATA SERVICES PRIVATE LIMITED	CATGA
153	DUNCANS TEA LTD	CATGB
154	E.I. DU PONT INDIA PRIVATE LIMITED	SCATA
155	ECE INDUSTRIES LIMITED	CATGC
156	MARS INTERNATIONAL INDIA PRIVATE LIMITED	CATGA
157	EICHER MOTORS LIMITED	SCATA
158	E.I.D PARRY INDIA LIMITED	SCATA
159	ELECTRONIC RESEARCH PRIVATE LIMITED	CATGB
160	Electrosteel Castings Limited	CATGA
161	ELGI EQUIPMENTS LIMITED	CATGB
162	EMBASSY OF BELGIUM	GOVT
163	EMBASSY OF NORWAY	GOVT
164	EMERSON ELECTRIC COMPANY (INDIA) PRIVATE LIMITED	SCATA
165	EMIRATES	CATGC
166	ENGINEERS INDIA LIMITED	CATGA
167	ESAB INDIA LIMITED	CATGB
168	ESCORTS FINANCE LIMITED	CATGB
169	INDIA YAMAHA MOTOR PRIVATE LIMITED	CATGA
170	ESERVE ONLINE PRIVATE LIMITED	CATGB
171	ESSAR INVESTMENTS LIMITED	CATGB
172	EUREKA FORBES LTD	CATGB
173	EUROTEX INDUSTRIES AND EXPORTS LIMITED	CATGB
174	EXCEL INDUSTRIES LIMITED	CATGB
175	EXIDE INDUSTRIES LIMITED	CATGA
176	FAG BEARINGS INDIA LIMITED	CATGB
177	FAIR ISAAC INDIA SOFTWARE PRIVATE LIMITED	CATGA
178	FDC LIMITED	CATGB
179	Federal Express Corporation	CATGC
180	THE FEDERAL BANK LTD	CATGA
181	FINOLEX INDUSTRIES LIMITED	CATGA
182	FLEXTRONICS TECHNOLOGIES (INDIA) PRIVATE LIMITED	CATGB
183	FORBES AND COMPANY  LIMITED	CATGA
184	FORD MOTOR PRIVATE LIMITED	SCATA
185	FRANCO-INDIAN PHARMACEUTICALS PRIVATE LIMITED	CATGB
186	FRENCH EMBASSY	GOVT
187	FUJIFILM INDIA PRIVATE LIMITED	CATGB
188	FULFORD (INDIA) LIMITED	CATGB
189	GABRIEL INDIA LIMITED	CATGB
190	GALLUP INDIA PRIVATE LIMITED	CATGB
191	GANNON DUNKERLEY AND COMPANY LIMITED	CATGB
192	GARWARE WALL ROPES LIMITED	CATGB
193	GE BE PRIVATE LIMITED	CATGA
194	GENERAL MILLS INDIA PRIVATE LIMITED	SCATA
195	GENERAL MOTORS INDIA PRIVATE LIMITED	SCATA
196	GHARDA CHEMICALS LIMITED	CATGB
197	GILCON PROJECT SERVICES LIMITED	CATGB
198	GILLETTE INDIA LIMITED	CATGB
199	GILLETTE DIVERSIFIED OPERATIONS PRIVATE LIMITED	CATGB
200	GKN SINTER METALS PRIVATE LIMITED	CATGB
201	GLAXOSMITHKLINE PHARMACEUTICALS LIMITED	SCATA
202	GLENMARK PHARMACEUTICALS LIMITED	CATGA
203	GLOBAL CONSULTANTS AND DESIGNERS PRIVATE LIMITED	CATGB
204	GLOBAL E-BUSINESS OPERATIONS PRIVATE LIMITED	CATGB
205	GLOBAL EXCHANGE COMPANY PRIVATE LIMITED	CATGB
206	GMMCO LTD	CATGB
207	GODFREY PHILLIPS INDIA LIMITED	SCATA
208	GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED	CATGA
209	GODREJ AGROVET LIMITED	CATGA
210	GODREJ INFOTECH LIMITED	CATGC
211	GRAPHITE INDIA LIMITED	CATGA
212	GRASIM INDUSTRIES LTD	SCATA
213	GREY WORLDWIDE (INDIA) PRIVATE LIMITED	CATGA
214	GRINDWELL NORTON LIMITED	CATGB
215	GTC INDIA PVT LTD.	CATGB
216	GUJARAT ALKALIES AND CHEMICALS LIMITED	CATGA
217	GUJARAT FLUOROCHEMICALS LIMITED	CATGA
218	Gujarat Gas Limited	CATGA
219	GUJARAT INDUSTRIES POWER COMPANY LTD.	CATGB
220	GUJARAT LEASE FINANCING LIMITED	CATGB
221	GVK INDUSTRIES LIMITED	CATGB
222	HARDCASTLE RESTAURANTS PRIVATE LIMITED	CATGB
223	HAWKINS COOKERS LIMITED	CATGB
224	HCL COMNET SYSTEMS AND SERVICES LIMITED	CATGB
225	HCL INFOSYSTEMS LIMITED	CATGA
226	HCL TECHNOLOGIES LIMITED	SCATA
227	HDFC BANK LIMITED	SCATA
228	HDFC LIFE INSURANCE COMPANY LIMITED	SCATA
229	HERO CORPORATE SERVICE PRIVATE LIMITED	CATGB
230	HERO CYCLES LIMITED	CATGB
231	HI-LINE PENS PRIVATE LIMITED	CATGB
232	HIKAL LIMITED	CATGB
233	HFCL LIMITED	CATGA
234	HINDUSTAN COCA-COLA MARKETING COMPANY PRIVATE LIMITED	CATGB
