S NO.	COMPANY NAME	COMPANY CATEGORY
108	AMAZON INTERNET SERVICES PRIVATE LIMITED (formerly known as AMAZON WEB SERVICES INDIA PRIVATE LIMITED )	CAT A
109	AMBA RIVER COKE LIMITED	CAT A
110	AMBER ENTERPRISES INDIA PRIVATE LIMITED	CAT A
111	AMBIENCE INTERIORS PRIVATE LIMITED	CAT A
112	AMBIT CAPITAL PRIVATE LIMITED	CAT A
113	AMBIT FINVEST PRIVATE LIMITED	CAT A
114	AMBIT PRIVATE LIMITED	CAT A
115	AMBUJA CEMENTS LIMITED	CAT A
116	AMDOCS DEVELOPMENT CENTRE INDIA PRIVATE LIMITED	CAT A
117	AMERICAN EXPRESS BANKING CORP.	CAT A
118	AMERICAN EXPRESS(INDIA) PRIVATE LIMITED	CAT A
119	AMERIPRISE INDIA PRIVATE LIMITED	CAT A
120	AMETEK INSTRUMENTS INDIA PRIVATE LIMITED	CAT A
121	AMEYA LOGISTICS PRIVATE LIMITED	CAT A
122	AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED	CAT A
123	AMMANN APOLLO INDIA PRIVATE LIMITED	CAT A
124	AMWAY INDIA ENTERPRISES PRIVATE LIMITED	CAT A
125	ANABOND LIMITED	CAT A
126	ANAND MOTOR PRODUCTS PRIVATE LTD.	CAT A
127	ANAND RATHI FINANCIAL SERVICES LIMITED	CAT A
128	ANAND RATHI SHARE AND STOCK BROKERS LIMITED	CAT A
129	ANCHOR ELECTRICALS PRIVATE LIMITED	CAT A
130	ANDHRA ORGANICS LIMITED	CAT A
131	ANDREW TELECOMMUNICATIONS INDIA PRIVATE LIMITED	CAT A
132	ANDRITZ HYDRO PRIVATE LIMITED	CAT A
133	ANDRITZ TECHNOLOGIES PRIVATE LIMITED	CAT A
134	ANGEL BROKING LIMITED	CAT A
135	ANIK INDUSTRIES LIMITED	CAT A
136	ANJANI PORTLAND CEMENT LIMITED	CAT A
137	ANMOL BISCUITS LIMITED	CAT A
138	ANNAPOORNA AGENCIES PRIVATE LIMITED	CAT A
139	ANSR SOURCE INDIA PRIVATE LIMITED	CAT A
140	ANTIQUE STOCK BROKING LIMITED	CAT A
141	ANZ SUPPORT SERVICES INDIA PRIVATE LIMITED	CAT A
142	AON INDIA LIMITED	CAT A
143	AON SERVICES INDIA PRIVATE LIMITED	CAT A
144	APAR INDUSTRIES LIMITED	CAT A
145	APEEJAY SHIPPING LIMITED	CAT A
146	APEEJAY SURRENDRA PARK HOTELS LIMITED	CAT A
147	APEX PACKING PRODUCTS PRIVATE LIMITED	CAT A
148	APL RESEARCH CENTRE LIMITED	CAT A
149	APM TERMINALS INDIA PRIVATE LIMITED	CAT A
150	APOLLO HEALTH AND LIFESTYLE LIMITED	CAT A
151	APOLLO HOSPITALS ENTERPRISE LIMITED	CAT A
152	APOLLO TYRES LIMITED.	CAT A
153	APOTEX PHARMACHEM INDIA PRIVATE LIMITED	CAT A
154	APOTEX RESEARCH PRIVATE LIMITED	CAT A
155	APPLABS TECHNOLOGIES PRIVATE LIMITED	CAT A
156	APPS ASSOCIATES PRIVATE LIMITED	CAT A
157	APTARA LEARNING PRIVATE LIMITED	CAT A
158	APTARA NEW MEDIA PRIVATE LIMITED	CAT A
159	APTONLINE LIMITED	CAT A
160	AQUAMALL WATER SOLUTIONS LIMITED	CAT A
161	ARAVALI POWER COMPANY PVT. LTD.	CAT A
162	ARCOT R AND D SOFTWARE PRIVATE LIMITED	CAT A
163	ARCTERN CONSULTING PRIVATE LIMITED	CAT A
164	ARIBA TECHNOLOGIES INDIA PRIVATE LIMITED	CAT A
165	ARICENT TECHNOLOGIES HOLDINGS LIMITED	CAT A
166	ARIES AGRO LIMITED (CN)	CAT A
167	ARISE INDIA LIMITED	CAT A
168	ARROW ELECTRONICS INDIA PRIVATE LIMITED	CAT A
169	ARTECH INFOSYSTEMS PRIVATE LIMITED	CAT A
170	ARTEMIS MEDICARE SERVICES LIMITED	CAT A
171	ARUBA NETWORKS INDIA PRIVATE LIMITED	CAT A
172	ARVIND LIFESTYLE BRANDS LIMITED	CAT A
173	ARVIND LIMITED	CAT A
174	ASAHI SONGWON COLORS LIMITED (LUCKY LAMINATES)	CAT A
175	ASHLAND INDIA PRIVATE LIMITED	CAT A
176	ASHOK GRANITES LIMITED	CAT A
177	ASHOK LEYLAND LIMITED	CAT A
178	ASHOKA BUILDCON LIMITED	CAT A
179	ASIAN CONCRETES AND CEMENTS PRIVATE LIMITED	CAT A
180	ASIAN GRANITO INDIA LIMITED	CAT A
181	ASIAN PAINTS LIMITED	CAT A
182	ASK AUTOMOTIVE LIMITED - (ASK AUTOMOTIVE PRIVATE LIMITED )	CAT A
183	ASSET RECONSTRUCTION COMPANY (INDIA) LIMITED	CAT A
184	ASSOCIATED ROAD CARRIERS LIMITED	CAT A
185	ASTER DM HEALTHCARE LIMITED	CAT A
186	ASTRA MICRO WAVE PRODUCTS LIMITED	CAT A
187	ASTRAL POLY TECHNIK LIMITED (ASTRAL LIMITED)	CAT A
188	ASTRAZENECA INDIA PRIVATE LIMITED	CAT A
189	ASTRAZENECA PHARMA INDIA LIMITED	CAT A
190	ASUS TECHNOLOGY PRIVATE LIMITED	CAT A
191	AT & T COMMUNICATION SERVICES INDIA PRIVATE LIMITED	CAT A
192	AT&T GLOBAL BUSINESS SERVICES INDIA PRIVATE LIMITED	CAT A
193	ATC TELECOM INFRASTRUCTURE LIMITED	CAT A
194	ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED	CAT A
195	ATC TIRES PRIVATE LIMITED	CAT A
196	ATHENA INFRASTRUCTURE LIMITED	CAT A
197	ATLAS COPCO (INDIA) LIMITED	CAT A
198	ATOS INDIA PRIVATE LIMITED	CAT A
199	ATOS IT SERVICES PRIVATE LIMITED	CAT A
200	ATRIA CONVERGENCE TECHNOLOGIES PRIVATE LIMITED	CAT A
201	ATS INFRASTRUCTURE LIMITED	CAT A
202	ATUL LIMITED	CAT A
203	ATYATI TECHNOLOGIES PRIVATE LIMITED	CAT A
204	AUROBINDO PHARMA LTD	CAT A
205	AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED	CAT A
206	AUTOLIV INDIA PRIVATE LIMITED	CAT A
207	AUTOMATIC DATA SOLUTIONS AND TECHNOLOGY SERVICES PRIVATE LIMITED	CAT A
