S NO.	COMPANY NAME	COMPANY CATEGORY
113	EXIDE INDUSTRIES LIMITED	ELITE
114	EXPORT-IMPORT BANK OF INDIA	ELITE
115	EY GLOBAL DELIVERY SERVICES INDIA LLP	ELITE
116	FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED	ELITE
117	FASTSTONE MERCANTILE COMPANY PRIVATE LIMITED	ELITE
118	FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED	ELITE
119	Force Motors Ltd	ELITE
120	G A I L (INDIA) LIMITED	ELITE
121	GATI LIMITED	ELITE
122	GE POWER INDIA LIMITED	ELITE
123	GE T&D INDIA LIMITED	ELITE
124	General Motors India PRIVATE LIMITED	ELITE
125	GIC (GOVERNMENT OF SINGAPORE INVESTMENT CORPORATION)	ELITE
126	GILLETTE INDIA LIMITED	ELITE
127	GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED	ELITE
128	GLAXOSMITHKLINE PHARMACEUTICALS LIMITED	ELITE
129	GLENMARK PHARMACEUTICALS LIMITED	ELITE
130	GODFREY PHILLIPS INDIA LIMITED	ELITE
131	GODREJ & BOYCE MFG. CO. LIMITED.	ELITE
132	GODREJ CONSUMER PRODUCTS LIMITED	ELITE
133	GODREJ EFACEC AUTOMATION & ROBOTICS LIMITED.	ELITE
134	GODREJ INDUSTRIES LIMITED	ELITE
135	GRAPHITE INDIA LIMITED	ELITE
136	GRASIM INDUSTRIES LIMITED	ELITE
137	GREAVES COTTON LIMITED	ELITE
138	GREEN ECO DEVELOPMENT CENTRE LIMITED.	ELITE
139	GUJARAT FLUOROCHEMICALS LIMITED	ELITE
140	GUJARAT GAS COMPANY LIMITED	ELITE
141	GUJARAT MINERAL DEVP CORPN LIMITED	ELITE
142	GUJARAT NARMADA VALLEY FERTILIZERS COMPANY LIMITED	ELITE
143	GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED	ELITE
144	GULF OIL LUBRICANTS INDIA LIMITED	ELITE
145	HAVELLS INDIA LIMITED	ELITE
146	HCL COMNET LIMITED	ELITE
147	HCL TECHNOLOGIES LIMITED	ELITE
148	HDFC BANK LIMITED	ELITE
149	HERO MOTOCORP LIMITED	ELITE
150	HINDALCO INDUSTRIES LIMITED	ELITE
151	HINDUSTAN COPPER LIMITED	ELITE
152	HINDUSTAN PETROLEUM CORPORATION LIMITED	ELITE
153	HINDUSTAN UNILEVER LIMITED	ELITE
154	HINDUSTAN ZINC LIMITED	ELITE
