S NO.	COMPANY NAME	COMPANY CATEGORY
122	SYNGENE INTERNATIONAL LIMITED	 Super A
123	TAFE MOTORS AND TRACTORS LIMITED	 Super A
124	TATA CHEMICALS LIMITED	 Super A
125	TATA MOTORS LIMITED	 Super A
126	TECH MAHINDRA LIMITED	 Super A
127	THE BOSTON CONSULTING GROUP INDIA PRIVATE LIMITED	 Super A
128	THE GREAT EASTERN SHIPPING COMPANY LIMITED	 Super A
129	THE RAMCO CEMENTS LIMITED	 Super A
130	THERMAX LIMITED	 Super A
131	TITAN COMPANY LIMITED	 Super A
132	TRENT LIMITED	 Super A
133	UBS SECURITIES INDIA PRIVATE LIMITED	 Super A
134	ULTRATECH CEMENT LIMITED	 Super A
135	UPL LIMITED	 Super A
136	VARUN BEVERAGES LIMITED	 Super A
137	VOLKSWAGEN FINANCE PRIVATE LIMITED	 Super A
138	VOLTAS LIMITED	 Super A
139	WHIRLPOOL OF INDIA LIMITED	 Super A
140	WIPRO GE HEALTHCARE PRIVATE LIMITED	 Super A
141	ALD AUTOMOTIVE PRIVATE LIMITED	 Super A
142	APOLLO HOSPITALS ENTERPRISE LIMITED	 Super A
143	AXIS BANK LIMITED	 Super A
144	BHARATIYA RESERVE BANK NOTE MUDRAN PRIVATE LIMITED	 Super A
145	BIRLA CORPORATION LIMITED	 Super A
146	BNP PARIBAS SECURITIES INDIA PRIVATE LIMITED	 Super A
147	BRIDGESTONE INDIA PRIVATE LIMITED	 Super A
148	CATERPILLAR INDIA PRIVATE LIMITED	 Super A
149	CHAMBAL FERTILISERS AND CHEMICALS LIMITED	 Super A
150	CLARIANT CHEMICALS INDIA LIMITED	 Super A
151	CLP WIND FARMS INDIA PRIVATE LIMITED	 Super A
152	COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED	 Super A
153	COMMONWEALTH BANK OF AUSTRALIA	 Super A
154	CREDIT SUISSE BUSINESS ANALYTICS INDIA PRIVATE LIMITED	 Super A
155	CREDIT SUISSE SECURITIES INDIA PRIVATE LIMITED	 Super A
156	CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED	 Super A
157	CUMMINS GENERATOR TECHNOLOGIES INDIA PRIVATE LIMITED	 Super A
158	CUMMINS INDIA LIMITED	 Super A
159	DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED	 Super A
160	EICHER MOTORS LIMITED	 Super A
161	ENTERTAINMENT NETWORK INDIA LIMITED	 Super A
162	FRANKLIN TEMPLETON INTERNATIONAL SERVICES INDIA PRIVATE LIMITED	 Super A
163	FUJITSU CONSULTING INDIA PRIVATE LIMITED	 Super A
164	GODFREY PHILLIPS INDIA LIMITED	 Super A
165	GODREJ PROPERTIES LIMITED	 Super A
166	GUJARAT ALKALIES AND CHEMICALS LIMITED	 Super A
167	GUJARAT CHEMICAL PORT TERMINAL COMPANY LIMITED	 Super A
168	GUJARAT FLUOROCHEMICALS LIMITED	 Super A
169	GUJARAT STATE FERTILIZERS AND CHEMICALS LIMITED	 Super A
170	HALDIRAM FOODS INTERNATIONAL PRIVATE LIMITED	 Super A
171	HDFC ERGO GENERAL INSURANCE COMPANY LIMITED	 Super A
172	HINDUSTAN COPPER LIMITED	 Super A
173	HINDUSTAN UNILEVER LIMITED	 Super A
174	HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED	 Super A
175	HYUNDAI MOTOR INDIA LIMITED	 Super A
176	ICICI BANK LIMITED	 Super A
177	ICICI SECURITIES LIMITED	 Super A
178	INDIA MOTOR PARTS AND ACCESSORIES LIMITED	 Super A
179	INDRAPRASTHA GAS LIMITED	 Super A
